API Number,Well Number,Month of Production,Year of Production,Days,BBLS Oil,BBLS Water,MCF Prod
33025021280000,25407,05,2018,28,4382,6423,2995
33025021280000,25407,04,2018,29,5331,11684,4655
33025021280000,25407,03,2018,31,5982,6927,3548
33025021280000,25407,02,2018,18,2843,3588,1826
33025021280000,25407,01,2018,22,3853,4200,2329
33025021280000,25407,12,2017,28,8518,9592,4707
33025021290000,25408,05,2018,31,5947,6798,5495
33025021290000,25408,04,2018,30,6529,8283,5880
33025021290000,25408,03,2018,31,6820,11364,5140
33025021290000,25408,02,2018,28,5853,8333,4547
33025021290000,25408,01,2018,29,9034,6185,5908
33025021290000,25408,12,2017,24,8656,5778,5792
33025021300000,25409,05,2018,0,0,0,0
33025021300000,25409,04,2018,7,756,2430,395
33025021300000,25409,03,2018,31,4925,10892,3000
33025021300000,25409,02,2018,28,8816,6371,4721
33025021300000,25409,01,2018,30,8188,12935,4214
33025021300000,25409,12,2017,27,4483,23780,2924
33025021310000,25410,05,2018,31,5605,11639,6945
33025021310000,25410,04,2018,30,5786,11679,6848
33025021310000,25410,03,2018,26,5073,12005,4171
33025021310000,25410,02,2018,27,3916,9242,2942
33025021310000,25410,01,2018,26,3738,3992,2937
33025021310000,25410,12,2017,28,5838,1981,6296
