API,Permit Num
33025021280000,25407
33025021290000,25408
33025021300000,25409
33025021310000,25410
33025021320000,25411
33025021330000,25412
33025022470000,26283
33025022480000,26284
33025022490000,26285
33025022500000,26286
33025022650000,26352
33025022660000,26353
33025022670000,26354
33025022680000,26355
33025022730000,26365
33053037770000,21521
33025009710100,18322
33025010370000,18665
33025010380000,18666
33025011980000,19806
33025012460000,20115
33025012470000,20116
33025012480000,20117
33025013030000,20424
33025013170000,20483
33025013180000,20487
33025013190000,20488
33025013200000,20489
33025013210000,20490
33025013480000,20632
33025013940000,20964
33025013950000,20965
33025014180000,21120
33025014500000,21404
33025014510000,21405
33025014670000,21551
33025014680100,21552
33025014690000,21553
33025014700000,21554
33025014710000,21556
33025014720000,21557
33025014730000,21558
33025014740000,21559
33025014750000,21560
33025014760000,21561
33025015420000,21904
33025015430000,21905
33025015440000,21906
33025015450000,21908
33025015620000,22028
33025015630000,22029
33025015670100,22092
33025015680000,22093
33025016570100,22649
33025016580000,22650
33025016590000,22651
33025016940000,22828
33025017500000,23093
33025017510000,23094
33025017520000,23095
33025017530000,23096
33025017540000,23097
33025017550000,23098
33025017560000,23099
33025017570100,23100
33025017580000,23101
33025017590000,23102
33025017760100,23169
33025018010000,23331
33025018020000,23332
33025018030000,23333
33025018040000,23334
33025018050000,23335
33025018060000,23336
33025018070000,23337
33025018080000,23338
33025018090000,23339
33025018100000,23340
33025018720000,23881
33025018750000,23884
33025018760000,23885
33025019460000,24206
33025019470000,24207
33025019480000,24208
33025019490000,24209
33025019870000,24366
33025019880000,24367
33025019900000,24398
33025019910100,24399
33025019920000,24400
33025019930000,24401
33025020500000,24845
33025020510000,24846
33025020520000,24847
33025020530000,24848
33025020540000,24849
33025020550000,24850
33025021240000,25403
33025021250000,25404
33025021260000,25405
33025021270000,25406
33025021340000,25413
33025021350000,25414
33025021370000,25430
33055001140100,17434
33055001180000,17929
33055001190200,17940
33055001240000,18158
33055001310000,18885
33055001320000,18886
33055001350000,18991
33055001370000,19467
33055001380100,19630
33055001390000,19683
33055001420000,20271
33055001450000,20289
33055001460000,20290
33055001470000,20291
33055001510000,21091
33055001520000,21092
33055001530000,21093
33055001540000,21116
33055001590000,21824
33055001640000,22718
33055001680000,24419
33055001690000,24420
33055001700000,24421
33061010000000,18027
33061011270000,18331
33061012290000,18595
33061012750000,18735
33061012760000,18737
33061012950300,18794
33061014540000,19404
33061014800000,19515
33061019590000,22072
33061019600000,22073
33061019760000,22129
33061019780000,22131
33061019970000,22214
33061019980000,22215
33061019990000,22216
33061021330000,22908
33061021850000,23317
33061021860000,23318
33061022050100,23451
33061022060000,23452
33061022070000,23453
33061023320000,24461
33061023330000,24462
33061023340000,24463
33061024260000,25010
33061024870000,25246
33061025690100,25628
33061025700000,25629
33061026570000,26163
33061026580000,26164
33061024270000,25011
33061024280000,25012
33053071390000,31689
33025027400000,29975
33025032210000,33056
33025032220000,33057
33025028530000,30694
33053082660000,34209
33053082680000,34215
33053082690000,34216
33053082320000,34125
33053082300000,34123
33053082290000,34122
33053077950000,33036
33053066850000,30583
33061019850000,22165
33053067180000,30710
33053066080000,30291
