Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
25407,5-2018,28,4382,6423,2995
25407,4-2018,29,5331,11684,4655
25407,3-2018,31,5982,6927,3548
25407,2-2018,18,2843,3588,1826
25407,1-2018,22,3853,4200,2329
25407,12-2017,28,8518,9592,4707
25408,5-2018,31,5947,6798,5495
25408,4-2018,30,6529,8283,5880
25408,3-2018,31,6820,11364,5140
25408,2-2018,28,5853,8333,4547
25408,1-2018,29,9034,6185,5908
25408,12-2017,24,8656,5778,5792
25409,5-2018,0,0,0,0
25409,4-2018,7,756,2430,395
25409,3-2018,31,4925,10892,3000
25409,2-2018,28,8816,6371,4721
25409,1-2018,30,8188,12935,4214
25409,12-2017,27,4483,23780,2924
25410,5-2018,31,5605,11639,6945
25410,4-2018,30,5786,11679,6848
25410,3-2018,26,5073,12005,4171
25410,2-2018,27,3916,9242,2942
25410,1-2018,26,3738,3992,2937
25410,12-2017,28,5838,1981,6296
25411,5-2018,24,4341,7649,3941
25411,4-2018,28,4682,13863,4789
25411,3-2018,31,5342,19102,5949
25411,2-2018,28,5532,24431,4290
25411,1-2018,27,6533,31824,4205
25411,12-2017,27,5425,22155,6168
25412,5-2018,31,4570,3954,7154
25412,4-2018,30,4859,4920,6564
25412,3-2018,31,5487,7505,5576
25412,2-2018,28,5449,8368,4413
25412,1-2018,30,7375,11025,4771
25412,12-2017,26,6018,8107,4203
26365,5-2018,28,1951,3239,1666
26365,4-2018,30,2768,5130,2645
26365,3-2018,30,2808,4403,1820
26365,2-2018,28,2545,4338,1601
26365,1-2018,29,2366,4223,1836
26365,12-2017,31,3086,5155,2263
21521,5-2018,7,184,397,898
21521,4-2018,29,638,1542,2388
21521,3-2018,19,422,1019,2649
21521,2-2018,28,1601,2009,6402
21521,1-2018,31,1224,1993,3586
21521,12-2017,31,1398,2153,4148
18322,5-2018,30,1927,758,2055
18322,4-2018,30,2209,921,2243
18322,3-2018,31,2384,1179,2661
18322,2-2018,28,2356,1347,2627
18322,1-2018,31,2897,1596,2935
18322,12-2017,31,2732,1910,2689
18665,5-2018,30,1916,1949,1139
18665,4-2018,30,1811,1857,1114
18665,3-2018,31,1927,2073,1025
18665,2-2018,28,2313,2280,723
18665,1-2018,31,1915,2539,622
18665,12-2017,31,2048,3669,836
18666,5-2018,31,1258,2866,1086
18666,4-2018,30,1606,3388,1152
18666,3-2018,31,1788,4148,1015
18666,2-2018,28,730,2368,633
18666,1-2018,31,1272,3020,518
18666,12-2017,31,975,4254,643
19806,4-2018,30,1806,954,1317
