API Number,Well Number,Month of Production,Year of Production,Days,BBLS Oil,BBLS Water,MCF Prod
33-025-02128-00-00, 25407,5,2018,28,4382,6423,2995
33-025-02128-00-00, 25407,4,2018,29,5331,11684,4655
33-025-02128-00-00, 25407,3,2018,31,5982,6927,3548
33-025-02129-00-00, 25408,5,2018,31,5947,6798,5495
33-025-02129-00-00, 25408,4,2018,30,6529,8283,5880
33-025-02129-00-00, 25408,3,2018,31,6820,11364,5140
33-025-02130-00-00, 25409,5,2018,0,0,0,0
33-025-02130-00-00, 25409,4,2018,7,756,2430,395
33-025-02130-00-00, 25409,3,2018,31,4925,10892,3000
33-025-02131-00-00, 25410,5,2018,31,5605,11639,6945
33-025-02131-00-00, 25410,4,2018,30,5786,11679,6848
33-025-02131-00-00, 25410,3,2018,26,5073,12005,4171
